run_id,timestamp_start,timestamp_end,assignee,task_group,device_id,runtime,model,quantization,backend,performance_mode,htp_performance_mode,htp_performance_mode_name,strategy,dataset,sample_id,repeat_id,prompt_tokens,target_output_tokens,actual_output_tokens,ttft_ms,decode_latency_ms,tpot_ms,e2e_latency_ms,energy_batch_id,energy_j,start_temp_c,end_temp_c,start_npu_temp_c,end_npu_temp_c,thermal_status,task_success,deadline_ms,progress_satisfied,error_type,notes,tbt_p50_ms,tbt_p95_ms,stall_ratio,visible_tokens_per_second
w1_001_always_max_b512_r1,2026-07-16T14:58:27+08:00,2026-07-16T14:59:04+08:00,mym,W1_streaming_chat,10.29.195.116:40461,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq530_budget512_temp0.0,w1_manual_prompts,w1_001,1,18,512,362,121,15214,42.028,15335,W1_streaming_chat_always_max_b512_2fae542615,NA,32.064,40.458,31.9,49.6,0,true,NA,true,none,"physical_run_id=w1_001_always_max_b512_r1;prompt=""Why is on-device AI useful for mobile users?"";difficulty=normal;max_seq_len=530;estimated_prompt_tokens=18;dynamic_max_seq_len=True;budget_execution_mode=physical;energy_batch_id=W1_streaming_chat_always_max_b512_2fae542615;prefill_ar_len=128;temperature=0.0;metrics_source=PyTorchObserver;actual_output_tokens_source=token_timestamps;ttft_source=runner_log;visible_tokens_per_second_source=token_timestamps;stopped_at_budget=False;average_reading_threshold_ms=208.0;token_timestamps_ok;n_output_tokens=362;n_inter_token_gaps=361;stall_threshold_ms=208.0;timing_source=timestamp_ms;runner_outputs=w1_001_always_max_b512_r1;archived_output_files=3;temp_sensor=android_thermal_hal:skin;npu_temp_sensor=max(android_thermal_hal:type9);thermal_measurement_scope=physical_runner_endpoints;thermal_status_aggregation=max_endpoints;common_skin_baseline_c=32.005;thermal_status_start=0;thermal_status_end=0",42.0,45.0,0.0,23.728
w1_001_always_max_b512_r2,2026-07-16T14:59:04+08:00,2026-07-16T14:59:35+08:00,mym,W1_streaming_chat,10.29.195.116:40461,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq530_budget512_temp0.0,w1_manual_prompts,w1_001,2,18,512,362,127,15278,42.204,15405,W1_streaming_chat_always_max_b512_2fae542615,NA,40.471,42.573,48.8,51.1,0,true,NA,true,none,"physical_run_id=w1_001_always_max_b512_r2;prompt=""Why is on-device AI useful for mobile users?"";difficulty=normal;max_seq_len=530;estimated_prompt_tokens=18;dynamic_max_seq_len=True;budget_execution_mode=physical;energy_batch_id=W1_streaming_chat_always_max_b512_2fae542615;prefill_ar_len=128;temperature=0.0;metrics_source=PyTorchObserver;actual_output_tokens_source=token_timestamps;ttft_source=runner_log;visible_tokens_per_second_source=token_timestamps;stopped_at_budget=False;average_reading_threshold_ms=208.0;token_timestamps_ok;n_output_tokens=362;n_inter_token_gaps=361;stall_threshold_ms=208.0;timing_source=timestamp_ms;runner_outputs=w1_001_always_max_b512_r2;archived_output_files=3;temp_sensor=android_thermal_hal:skin;npu_temp_sensor=max(android_thermal_hal:type9);thermal_measurement_scope=physical_runner_endpoints;thermal_status_aggregation=max_endpoints;common_skin_baseline_c=32.005;thermal_status_start=0;thermal_status_end=0",42.0,45.0,0.0,23.629
w1_001_always_max_b512_r3,2026-07-16T14:59:36+08:00,2026-07-16T15:00:08+08:00,mym,W1_streaming_chat,10.29.195.116:40461,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq530_budget512_temp0.0,w1_manual_prompts,w1_001,3,18,512,362,129,14978,41.376,15107,W1_streaming_chat_always_max_b512_2fae542615,NA,42.573,43.971,50.7,51.9,0,true,NA,true,none,"physical_run_id=w1_001_always_max_b512_r3;prompt=""Why is on-device AI useful for mobile users?"";difficulty=normal;max_seq_len=530;estimated_prompt_tokens=18;dynamic_max_seq_len=True;budget_execution_mode=physical;energy_batch_id=W1_streaming_chat_always_max_b512_2fae542615;prefill_ar_len=128;temperature=0.0;metrics_source=PyTorchObserver;actual_output_tokens_source=token_timestamps;ttft_source=runner_log;visible_tokens_per_second_source=token_timestamps;stopped_at_budget=False;average_reading_threshold_ms=208.0;token_timestamps_ok;n_output_tokens=362;n_inter_token_gaps=361;stall_threshold_ms=208.0;timing_source=timestamp_ms;runner_outputs=w1_001_always_max_b512_r3;archived_output_files=3;temp_sensor=android_thermal_hal:skin;npu_temp_sensor=max(android_thermal_hal:type9);thermal_measurement_scope=physical_runner_endpoints;thermal_status_aggregation=max_endpoints;common_skin_baseline_c=32.005;thermal_status_start=0;thermal_status_end=0",41.0,45.0,0.0,24.102
w1_002_always_max_b512_r1,2026-07-16T15:00:08+08:00,2026-07-16T15:00:39+08:00,mym,W1_streaming_chat,10.29.195.116:40461,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq532_budget512_temp0.0,w1_manual_prompts,w1_002,1,20,512,351,127,15012,42.769,15139,W1_streaming_chat_always_max_b512_2fae542615,NA,43.964,44.235,51.5,51.5,0,true,NA,true,none,"physical_run_id=w1_002_always_max_b512_r1;prompt=""What makes a chatbot response feel smooth to a user?"";difficulty=normal;max_seq_len=532;estimated_prompt_tokens=20;dynamic_max_seq_len=True;budget_execution_mode=physical;energy_batch_id=W1_streaming_chat_always_max_b512_2fae542615;prefill_ar_len=128;temperature=0.0;metrics_source=PyTorchObserver;actual_output_tokens_source=token_timestamps;ttft_source=runner_log;visible_tokens_per_second_source=token_timestamps;stopped_at_budget=False;average_reading_threshold_ms=208.0;token_timestamps_ok;n_output_tokens=351;n_inter_token_gaps=350;stall_threshold_ms=208.0;timing_source=timestamp_ms;runner_outputs=w1_002_always_max_b512_r1;archived_output_files=3;temp_sensor=android_thermal_hal:skin;npu_temp_sensor=max(android_thermal_hal:type9);thermal_measurement_scope=physical_runner_endpoints;thermal_status_aggregation=max_endpoints;common_skin_baseline_c=32.005;thermal_status_start=0;thermal_status_end=0",42.0,46.0,0.0,23.315
w1_002_always_max_b512_r2,2026-07-16T15:00:39+08:00,2026-07-16T15:01:10+08:00,mym,W1_streaming_chat,10.29.195.116:40461,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq532_budget512_temp0.0,w1_manual_prompts,w1_002,2,20,512,351,122,14325,40.812,14447,W1_streaming_chat_always_max_b512_2fae542615,NA,44.22,44.679,51.5,51.1,0,true,NA,true,none,"physical_run_id=w1_002_always_max_b512_r2;prompt=""What makes a chatbot response feel smooth to a user?"";difficulty=normal;max_seq_len=532;estimated_prompt_tokens=20;dynamic_max_seq_len=True;budget_execution_mode=physical;energy_batch_id=W1_streaming_chat_always_max_b512_2fae542615;prefill_ar_len=128;temperature=0.0;metrics_source=PyTorchObserver;actual_output_tokens_source=token_timestamps;ttft_source=runner_log;visible_tokens_per_second_source=token_timestamps;stopped_at_budget=False;average_reading_threshold_ms=208.0;token_timestamps_ok;n_output_tokens=351;n_inter_token_gaps=350;stall_threshold_ms=208.0;timing_source=timestamp_ms;runner_outputs=w1_002_always_max_b512_r2;archived_output_files=3;temp_sensor=android_thermal_hal:skin;npu_temp_sensor=max(android_thermal_hal:type9);thermal_measurement_scope=physical_runner_endpoints;thermal_status_aggregation=max_endpoints;common_skin_baseline_c=32.005;thermal_status_start=0;thermal_status_end=0",41.0,45.0,0.0,24.433
w1_002_always_max_b512_r3,2026-07-16T15:01:11+08:00,2026-07-16T15:01:41+08:00,mym,W1_streaming_chat,10.29.195.116:40461,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq532_budget512_temp0.0,w1_manual_prompts,w1_002,3,20,512,351,120,14641,41.712,14761,W1_streaming_chat_always_max_b512_2fae542615,NA,44.665,45.591,51.1,51.1,0,true,NA,true,none,"physical_run_id=w1_002_always_max_b512_r3;prompt=""What makes a chatbot response feel smooth to a user?"";difficulty=normal;max_seq_len=532;estimated_prompt_tokens=20;dynamic_max_seq_len=True;budget_execution_mode=physical;energy_batch_id=W1_streaming_chat_always_max_b512_2fae542615;prefill_ar_len=128;temperature=0.0;metrics_source=PyTorchObserver;actual_output_tokens_source=token_timestamps;ttft_source=runner_log;visible_tokens_per_second_source=token_timestamps;stopped_at_budget=False;average_reading_threshold_ms=208.0;token_timestamps_ok;n_output_tokens=351;n_inter_token_gaps=350;stall_threshold_ms=208.0;timing_source=timestamp_ms;runner_outputs=w1_002_always_max_b512_r3;archived_output_files=3;temp_sensor=android_thermal_hal:skin;npu_temp_sensor=max(android_thermal_hal:type9);thermal_measurement_scope=physical_runner_endpoints;thermal_status_aggregation=max_endpoints;common_skin_baseline_c=32.005;thermal_status_start=0;thermal_status_end=0",41.0,45.0,0.0,23.905
w1_003_always_max_b512_r1,2026-07-16T15:01:42+08:00,2026-07-16T15:02:20+08:00,mym,W1_streaming_chat,10.29.195.116:40461,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq531_budget512_temp0.0,w1_manual_prompts,w1_003,1,19,512,499,122,20222,40.525,20344,W1_streaming_chat_always_max_b512_2fae542615,NA,45.578,46.885,50.7,53.8,0,true,NA,true,none,"physical_run_id=w1_003_always_max_b512_r1;prompt=""Explain the difference between cloud AI and local AI."";difficulty=normal;max_seq_len=531;estimated_prompt_tokens=19;dynamic_max_seq_len=True;budget_execution_mode=physical;energy_batch_id=W1_streaming_chat_always_max_b512_2fae542615;prefill_ar_len=128;temperature=0.0;metrics_source=PyTorchObserver;actual_output_tokens_source=token_timestamps;ttft_source=runner_log;visible_tokens_per_second_source=token_timestamps;stopped_at_budget=False;average_reading_threshold_ms=208.0;token_timestamps_ok;n_output_tokens=499;n_inter_token_gaps=498;stall_threshold_ms=208.0;timing_source=timestamp_ms;runner_outputs=w1_003_always_max_b512_r1;archived_output_files=3;temp_sensor=android_thermal_hal:skin;npu_temp_sensor=max(android_thermal_hal:type9);thermal_measurement_scope=physical_runner_endpoints;thermal_status_aggregation=max_endpoints;common_skin_baseline_c=32.005;thermal_status_start=0;thermal_status_end=0",39.0,45.0,0.0,24.628
w1_003_always_max_b512_r2,2026-07-16T15:02:20+08:00,2026-07-16T15:02:57+08:00,mym,W1_streaming_chat,10.29.195.116:40461,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq531_budget512_temp0.0,w1_manual_prompts,w1_003,2,19,512,499,126,21188,42.461,21314,W1_streaming_chat_always_max_b512_2fae542615,NA,46.885,47.867,53.4,55.3,0,true,NA,true,none,"physical_run_id=w1_003_always_max_b512_r2;prompt=""Explain the difference between cloud AI and local AI."";difficulty=normal;max_seq_len=531;estimated_prompt_tokens=19;dynamic_max_seq_len=True;budget_execution_mode=physical;energy_batch_id=W1_streaming_chat_always_max_b512_2fae542615;prefill_ar_len=128;temperature=0.0;metrics_source=PyTorchObserver;actual_output_tokens_source=token_timestamps;ttft_source=runner_log;visible_tokens_per_second_source=token_timestamps;stopped_at_budget=False;average_reading_threshold_ms=208.0;token_timestamps_ok;n_output_tokens=499;n_inter_token_gaps=498;stall_threshold_ms=208.0;timing_source=timestamp_ms;runner_outputs=w1_003_always_max_b512_r2;archived_output_files=3;temp_sensor=android_thermal_hal:skin;npu_temp_sensor=max(android_thermal_hal:type9);thermal_measurement_scope=physical_runner_endpoints;thermal_status_aggregation=max_endpoints;common_skin_baseline_c=32.005;thermal_status_start=0;thermal_status_end=0",42.0,46.0,0.0,23.505
w1_003_always_max_b512_r3,2026-07-16T15:02:58+08:00,2026-07-16T15:03:32+08:00,mym,W1_streaming_chat,10.29.195.116:40461,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq531_budget512_temp0.0,w1_manual_prompts,w1_003,3,19,512,499,121,19587,39.253,19708,W1_streaming_chat_always_max_b512_2fae542615,NA,47.859,48.91,55.3,56.9,0,true,NA,true,none,"physical_run_id=w1_003_always_max_b512_r3;prompt=""Explain the difference between cloud AI and local AI."";difficulty=normal;max_seq_len=531;estimated_prompt_tokens=19;dynamic_max_seq_len=True;budget_execution_mode=physical;energy_batch_id=W1_streaming_chat_always_max_b512_2fae542615;prefill_ar_len=128;temperature=0.0;metrics_source=PyTorchObserver;actual_output_tokens_source=token_timestamps;ttft_source=runner_log;visible_tokens_per_second_source=token_timestamps;stopped_at_budget=False;average_reading_threshold_ms=208.0;token_timestamps_ok;n_output_tokens=499;n_inter_token_gaps=498;stall_threshold_ms=208.0;timing_source=timestamp_ms;runner_outputs=w1_003_always_max_b512_r3;archived_output_files=3;temp_sensor=android_thermal_hal:skin;npu_temp_sensor=max(android_thermal_hal:type9);thermal_measurement_scope=physical_runner_endpoints;thermal_status_aggregation=max_endpoints;common_skin_baseline_c=32.005;thermal_status_start=0;thermal_status_end=0",38.0,43.0,0.0,25.425
w1_004_always_max_b512_r1,2026-07-16T15:03:33+08:00,2026-07-16T15:04:01+08:00,mym,W1_streaming_chat,10.29.195.116:40461,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq530_budget512_temp0.0,w1_manual_prompts,w1_004,1,18,512,326,119,12914,39.613,13033,W1_streaming_chat_always_max_b512_2fae542615,NA,48.91,48.0,56.5,54.9,0,true,NA,true,none,"physical_run_id=w1_004_always_max_b512_r1;prompt=""Why does first-token latency matter in streaming chat?"";difficulty=normal;max_seq_len=530;estimated_prompt_tokens=18;dynamic_max_seq_len=True;budget_execution_mode=physical;energy_batch_id=W1_streaming_chat_always_max_b512_2fae542615;prefill_ar_len=128;temperature=0.0;metrics_source=PyTorchObserver;actual_output_tokens_source=token_timestamps;ttft_source=runner_log;visible_tokens_per_second_source=token_timestamps;stopped_at_budget=False;average_reading_threshold_ms=208.0;token_timestamps_ok;n_output_tokens=326;n_inter_token_gaps=325;stall_threshold_ms=208.0;timing_source=timestamp_ms;runner_outputs=w1_004_always_max_b512_r1;archived_output_files=3;temp_sensor=android_thermal_hal:skin;npu_temp_sensor=max(android_thermal_hal:type9);thermal_measurement_scope=physical_runner_endpoints;thermal_status_aggregation=max_endpoints;common_skin_baseline_c=32.005;thermal_status_start=0;thermal_status_end=0",38.0,43.0,0.0,25.166
