run_id,timestamp_start,timestamp_end,assignee,task_group,device_id,runtime,model,quantization,backend,performance_mode,htp_performance_mode,htp_performance_mode_name,strategy,dataset,sample_id,repeat_id,prompt_tokens,target_output_tokens,actual_output_tokens,ttft_ms,decode_latency_ms,tpot_ms,e2e_latency_ms,energy_batch_id,energy_j,start_temp_c,end_temp_c,start_npu_temp_c,end_npu_temp_c,thermal_status,task_success,deadline_ms,progress_satisfied,error_type,notes,answer,gold_answer,answer_correct,correct_under_deadline,reasoning_budget_tokens,output_truncated,energy_per_correct_answer_j
w2_001_always_max_b128_r1_d5000,2026-07-19T12:36:12+08:00,2026-07-19T12:36:19+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq272_budget128_temp0.0,gsm8k,w2_001,1,144,128,127,255,5268,41.48,5523,W2_reasoning_always_max_b128_ee97b216b9,NA,30.41,32.906,30.3,51.9,0,false,5000,false,parse_error,,NA,64,false,false,128,true,NA
w2_001_always_max_b128_r1_d10000,2026-07-19T12:36:12+08:00,2026-07-19T12:36:19+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq272_budget128_temp0.0,gsm8k,w2_001,1,144,128,127,255,5268,41.48,5523,W2_reasoning_always_max_b128_ee97b216b9,NA,30.41,32.906,30.3,51.9,0,false,10000,false,parse_error,,NA,64,false,false,128,true,NA
w2_001_always_max_b128_r1_d20000,2026-07-19T12:36:12+08:00,2026-07-19T12:36:19+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq272_budget128_temp0.0,gsm8k,w2_001,1,144,128,127,255,5268,41.48,5523,W2_reasoning_always_max_b128_ee97b216b9,NA,30.41,32.906,30.3,51.9,0,false,20000,false,parse_error,,NA,64,false,false,128,true,NA
w2_001_always_max_b128_r1_d30000,2026-07-19T12:36:12+08:00,2026-07-19T12:36:19+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq272_budget128_temp0.0,gsm8k,w2_001,1,144,128,127,255,5268,41.48,5523,W2_reasoning_always_max_b128_ee97b216b9,NA,30.41,32.906,30.3,51.9,0,false,30000,false,parse_error,,NA,64,false,false,128,true,NA
w2_002_always_max_b128_r1_d5000,2026-07-19T12:36:19+08:00,2026-07-19T12:36:27+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq264_budget128_temp0.0,gsm8k,w2_002,1,136,128,127,246,5236,41.228,5482,W2_reasoning_always_max_b128_ee97b216b9,NA,32.917,36.004,51.1,56.5,0,false,5000,false,parse_error,,NA,5,false,false,128,true,NA
w2_002_always_max_b128_r1_d10000,2026-07-19T12:36:19+08:00,2026-07-19T12:36:27+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq264_budget128_temp0.0,gsm8k,w2_002,1,136,128,127,246,5236,41.228,5482,W2_reasoning_always_max_b128_ee97b216b9,NA,32.917,36.004,51.1,56.5,0,false,10000,false,parse_error,,NA,5,false,false,128,true,NA
w2_002_always_max_b128_r1_d20000,2026-07-19T12:36:19+08:00,2026-07-19T12:36:27+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq264_budget128_temp0.0,gsm8k,w2_002,1,136,128,127,246,5236,41.228,5482,W2_reasoning_always_max_b128_ee97b216b9,NA,32.917,36.004,51.1,56.5,0,false,20000,false,parse_error,,NA,5,false,false,128,true,NA
w2_002_always_max_b128_r1_d30000,2026-07-19T12:36:19+08:00,2026-07-19T12:36:27+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq264_budget128_temp0.0,gsm8k,w2_002,1,136,128,127,246,5236,41.228,5482,W2_reasoning_always_max_b128_ee97b216b9,NA,32.917,36.004,51.1,56.5,0,false,30000,false,parse_error,,NA,5,false,false,128,true,NA
w2_003_always_max_b128_r1_d5000,2026-07-19T12:36:27+08:00,2026-07-19T12:36:33+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq260_budget128_temp0.0,gsm8k,w2_003,1,132,128,87,244,3663,42.103,3907,W2_reasoning_always_max_b128_ee97b216b9,NA,36.016,37.562,56.1,57.3,0,false,5000,false,wrong_answer,,81,87,false,false,128,false,NA
w2_003_always_max_b128_r1_d10000,2026-07-19T12:36:27+08:00,2026-07-19T12:36:33+08:00,mym,W2_reasoning,10.29.195.116:37907,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq260_budget128_temp0.0,gsm8k,w2_003,1,132,128,87,244,3663,42.103,3907,W2_reasoning_always_max_b128_ee97b216b9,NA,36.016,37.562,56.1,57.3,0,false,10000,false,wrong_answer,,81,87,false,false,128,false,NA
