run_id,timestamp_start,timestamp_end,assignee,task_group,device_id,runtime,model,quantization,backend,performance_mode,htp_performance_mode,htp_performance_mode_name,strategy,dataset,sample_id,repeat_id,prompt_tokens,target_output_tokens,actual_output_tokens,ttft_ms,decode_latency_ms,tpot_ms,e2e_latency_ms,energy_batch_id,energy_j,start_temp_c,end_temp_c,start_npu_temp_c,end_npu_temp_c,thermal_status,task_success,deadline_ms,progress_satisfied,error_type,notes,action_text,action_name,action_arguments,gold_action,gold_arguments,action_valid,action_correct,action_schema_error,time_to_valid_action_ms,invalid_action_rate,valid_under_deadline,correct_under_deadline,action_budget_tokens
w3v2_001_always_max_b96_r1_d2000,2026-07-19T20:39:52+08:00,2026-07-19T20:39:55+08:00,mym,W3_action,10.29.195.116:46301,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq725_budget96_temp0.0,tiny_schema_v2,w3v2_001,1,629,96,13,597,534,41.077,1131,W3_action_always_max_b96_79d839fe87,NA,30.064,30.486,30.3,43.4,0,true,2000,true,none,"physical_run_id=w3v2_001_always_max_b96_r1;action_validator_version=strict_json_v2;action_error_message=""""","{""action"":""open_app"",""arguments"":{""app_name"":""Calculator""}}",open_app,"{""app_name"": ""Calculator""}",open_app,"{""app_name"": ""Calculator""}",true,true,false,1087.0,0.0,true,true,96
w3v2_001_always_max_b96_r1_d5000,2026-07-19T20:39:52+08:00,2026-07-19T20:39:55+08:00,mym,W3_action,10.29.195.116:46301,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq725_budget96_temp0.0,tiny_schema_v2,w3v2_001,1,629,96,13,597,534,41.077,1131,W3_action_always_max_b96_79d839fe87,NA,30.064,30.486,30.3,43.4,0,true,5000,true,none,"physical_run_id=w3v2_001_always_max_b96_r1;action_validator_version=strict_json_v2;action_error_message=""""","{""action"":""open_app"",""arguments"":{""app_name"":""Calculator""}}",open_app,"{""app_name"": ""Calculator""}",open_app,"{""app_name"": ""Calculator""}",true,true,false,1087.0,0.0,true,true,96
w3v2_001_always_max_b96_r1_d10000,2026-07-19T20:39:52+08:00,2026-07-19T20:39:55+08:00,mym,W3_action,10.29.195.116:46301,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq725_budget96_temp0.0,tiny_schema_v2,w3v2_001,1,629,96,13,597,534,41.077,1131,W3_action_always_max_b96_79d839fe87,NA,30.064,30.486,30.3,43.4,0,true,10000,true,none,"physical_run_id=w3v2_001_always_max_b96_r1;action_validator_version=strict_json_v2;action_error_message=""""","{""action"":""open_app"",""arguments"":{""app_name"":""Calculator""}}",open_app,"{""app_name"": ""Calculator""}",open_app,"{""app_name"": ""Calculator""}",true,true,false,1087.0,0.0,true,true,96
w3v2_002_always_max_b96_r1_d2000,2026-07-19T20:39:55+08:00,2026-07-19T20:39:58+08:00,mym,W3_action,10.29.195.116:46301,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq724_budget96_temp0.0,tiny_schema_v2,w3v2_002,1,628,96,16,611,655,40.938,1266,W3_action_always_max_b96_79d839fe87,NA,30.497,31.707,42.6,47.6,0,true,2000,true,none,"physical_run_id=w3v2_002_always_max_b96_r1;action_validator_version=strict_json_v2;action_error_message=""""","{""action"":""open_url"",""arguments"":{""url"":""https://weather.example.com""}}",open_url,"{""url"": ""https://weather.example.com""}",open_url,"{""url"": ""https://weather.example.com""}",true,true,false,1219.0,0.0,true,true,96
w3v2_002_always_max_b96_r1_d5000,2026-07-19T20:39:55+08:00,2026-07-19T20:39:58+08:00,mym,W3_action,10.29.195.116:46301,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq724_budget96_temp0.0,tiny_schema_v2,w3v2_002,1,628,96,16,611,655,40.938,1266,W3_action_always_max_b96_79d839fe87,NA,30.497,31.707,42.6,47.6,0,true,5000,true,none,"physical_run_id=w3v2_002_always_max_b96_r1;action_validator_version=strict_json_v2;action_error_message=""""","{""action"":""open_url"",""arguments"":{""url"":""https://weather.example.com""}}",open_url,"{""url"": ""https://weather.example.com""}",open_url,"{""url"": ""https://weather.example.com""}",true,true,false,1219.0,0.0,true,true,96
w3v2_002_always_max_b96_r1_d10000,2026-07-19T20:39:55+08:00,2026-07-19T20:39:58+08:00,mym,W3_action,10.29.195.116:46301,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq724_budget96_temp0.0,tiny_schema_v2,w3v2_002,1,628,96,16,611,655,40.938,1266,W3_action_always_max_b96_79d839fe87,NA,30.497,31.707,42.6,47.6,0,true,10000,true,none,"physical_run_id=w3v2_002_always_max_b96_r1;action_validator_version=strict_json_v2;action_error_message=""""","{""action"":""open_url"",""arguments"":{""url"":""https://weather.example.com""}}",open_url,"{""url"": ""https://weather.example.com""}",open_url,"{""url"": ""https://weather.example.com""}",true,true,false,1219.0,0.0,true,true,96
w3v2_003_always_max_b96_r1_d2000,2026-07-19T20:39:58+08:00,2026-07-19T20:40:01+08:00,mym,W3_action,10.29.195.116:46301,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq722_budget96_temp0.0,tiny_schema_v2,w3v2_003,1,626,96,13,601,522,40.154,1123,W3_action_always_max_b96_79d839fe87,NA,31.729,32.98,46.5,48.8,0,true,2000,true,none,"physical_run_id=w3v2_003_always_max_b96_r1;action_validator_version=strict_json_v2;action_error_message=""""","{""action"":""open_app"",""arguments"":{""app_name"":""Calculator""}}",open_app,"{""app_name"": ""Calculator""}",open_app,"{""app_name"": ""Calculator""}",true,true,false,1081.0,0.0,true,true,96
w3v2_003_always_max_b96_r1_d5000,2026-07-19T20:39:58+08:00,2026-07-19T20:40:01+08:00,mym,W3_action,10.29.195.116:46301,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq722_budget96_temp0.0,tiny_schema_v2,w3v2_003,1,626,96,13,601,522,40.154,1123,W3_action_always_max_b96_79d839fe87,NA,31.729,32.98,46.5,48.8,0,true,5000,true,none,"physical_run_id=w3v2_003_always_max_b96_r1;action_validator_version=strict_json_v2;action_error_message=""""","{""action"":""open_app"",""arguments"":{""app_name"":""Calculator""}}",open_app,"{""app_name"": ""Calculator""}",open_app,"{""app_name"": ""Calculator""}",true,true,false,1081.0,0.0,true,true,96
w3v2_003_always_max_b96_r1_d10000,2026-07-19T20:39:58+08:00,2026-07-19T20:40:01+08:00,mym,W3_action,10.29.195.116:46301,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq722_budget96_temp0.0,tiny_schema_v2,w3v2_003,1,626,96,13,601,522,40.154,1123,W3_action_always_max_b96_79d839fe87,NA,31.729,32.98,46.5,48.8,0,true,10000,true,none,"physical_run_id=w3v2_003_always_max_b96_r1;action_validator_version=strict_json_v2;action_error_message=""""","{""action"":""open_app"",""arguments"":{""app_name"":""Calculator""}}",open_app,"{""app_name"": ""Calculator""}",open_app,"{""app_name"": ""Calculator""}",true,true,false,1081.0,0.0,true,true,96
w3v2_004_always_max_b96_r1_d2000,2026-07-19T20:40:01+08:00,2026-07-19T20:40:05+08:00,mym,W3_action,10.29.195.116:46301,executorch_qnn,Qwen2.5-3B-Instruct,Qwen2_5_1_5BQuantRecipe,QNN_HTP,always_max,2,kHtpBurst,hybrid_prefill_ar128_seq725_budget96_temp0.0,tiny_schema_v2,w3v2_004,1,629,96,24,595,988,41.167,1583,W3_action_always_max_b96_79d839fe87,NA,33.009,34.286,48.0,52.6,0,true,2000,true,none,"physical_run_id=w3v2_004_always_max_b96_r1;action_validator_version=strict_json_v2;action_error_message=""""","{""action"":""search_web"",""arguments"":{""query"":""battery health tips"",""result_limit"":5,""safe_search"":true}}",search_web,"{""query"": ""battery health tips"", ""result_limit"": 5, ""safe_search"": true}",search_web,"{""query"": ""battery health tips"", ""result_limit"": 5, ""safe_search"": true}",true,true,false,1536.0,0.0,true,true,96
