timestamp_ms,host_timestamp_ms,adb_latency_ms,voltage_v,current_a,power_w,skin_temp_c,thermal_status,runner_pid,rss_kb,vmhwm_kb,valid_power,error
1785826361162.500,1785826360540.617,224.276,4.189,0.021,0.087969,44.899,0,24603,8688,11768,True,
1785826361842.500,1785826361139.100,420.586,4.17,0.073,0.30440999999999996,44.899,0,24603,67188,79600,True,
1785826362114.000,1785826361518.880,179.762,4.179,0.031,0.129549,44.906,0,24603,88292,88292,True,
1785826362710.500,1785826362068.582,278.703,4.171,0.061,0.254431,44.893,0,24603,420380,1026916,True,
1785826363125.000,1785826362523.732,188.511,4.179,0.031,0.129549,44.879,0,24603,33996,1026916,True,
1785826363669.500,1785826363057.916,255.973,4.16,0.055,0.2288,44.906,0,24603,34764,1026916,True,
1785826364167.500,1785826363548.207,236.027,4.155,0.082,0.34071,44.893,0,24603,34764,1026916,True,
1785826364652.000,1785826364038.077,215.173,4.151,0.11,0.45660999999999996,44.885,0,24603,34764,1026916,True,
1785826365174.000,1785826364552.602,243.550,4.156,0.068,0.282608,44.872,0,24603,34764,1026916,True,
1785826365625.500,1785826365028.375,194.458,4.162,0.022,0.09156399999999999,44.879,0,24603,34764,1026916,True,
1785826366203.000,1785826365568.422,273.522,4.169,0.042,0.175098,44.858,0,24603,34764,1026916,True,
1785826366565.000,1785826365978.629,156.609,4.182,0.023,0.09618600000000001,44.879,0,,,,True,
