test_id,step,device_serial,prompt_tokens,generated_tokens,runner_returncode,model_load_ms,ttft_ms,prefill_latency_ms,decode_latency_ms,inference_ms,bfcl_call_latency_ms,prefill_token_per_sec,decode_token_per_sec,energy_j,average_power_w,energy_per_token_j,edp_j_s,signed_net_battery_energy_j,signed_average_battery_power_w,external_powered_start,external_powered_end,power_sources_start,power_sources_end,battery_status_start,battery_status_end,start_voltage_v,end_voltage_v,start_current_a,end_current_a,start_power_w,end_power_w,start_skin_temp_c,end_skin_temp_c,max_skin_temp_c,peak_rss_mb,peak_vmhwm_mb,memory_use_mb,telemetry_sample_count,power_sample_count,energy_measurement_status,telemetry_path,runner_log_path,output_path
simple_python_5,0,192.168.110.67:5555,326,33,0,3333,373,373,2169,2542,6196.673482001643,873.995,15.2144,0.8892301967162936,0.3498151836020038,0.02694636959746344,2.2604231600528184,0.8892301967162936,0.3498151836020038,False,False,,,3,3,4.183200620475698,4.235095723014257,0.10987797311271975,0.024421588594704686,0.4596416053017413,0.10342776540664757,39.3059069286453,39.64403462321792,39.64403462321792,34.0546875,1003.31640625,1003.31640625,13,13,measured_signed_battery_energy,/home/lyyyy/pace/results/oneplus/bfcl_qwen2.5-3b_w4a16-block16_balanced/qnn_phone_artifacts/Qwen_Qwen2.5-3B-Instruct-QNN-FC/simple_python_5/step_00/telemetry.csv,/home/lyyyy/pace/results/oneplus/bfcl_qwen2.5-3b_w4a16-block16_balanced/qnn_phone_artifacts/Qwen_Qwen2.5-3B-Instruct-QNN-FC/simple_python_5/step_00/runner.log,/home/lyyyy/pace/results/oneplus/bfcl_qwen2.5-3b_w4a16-block16_balanced/qnn_phone_artifacts/Qwen_Qwen2.5-3B-Instruct-QNN-FC/simple_python_5/step_00/generated_text.txt
simple_python_6,0,192.168.110.67:5555,230,32,0,1765,246,246,2133,2379,4457.669244002318,934.959,15.0023,0.9924880797568909,0.4171870869091597,0.03101525249240284,2.3611291417416433,0.9924880797568909,0.4171870869091597,False,False,,,3,3,4.180213891951488,4.211653555219365,0.17286549062844542,0.10964599092284417,0.7226147253640373,0.46179092748574685,40.01625248070562,40.333018154311645,40.333018154311645,34.76171875,1003.734375,1003.734375,10,10,measured_signed_battery_energy,/home/lyyyy/pace/results/oneplus/bfcl_qwen2.5-3b_w4a16-block16_balanced/qnn_phone_artifacts/Qwen_Qwen2.5-3B-Instruct-QNN-FC/simple_python_6/step_00/telemetry.csv,/home/lyyyy/pace/results/oneplus/bfcl_qwen2.5-3b_w4a16-block16_balanced/qnn_phone_artifacts/Qwen_Qwen2.5-3B-Instruct-QNN-FC/simple_python_6/step_00/runner.log,/home/lyyyy/pace/results/oneplus/bfcl_qwen2.5-3b_w4a16-block16_balanced/qnn_phone_artifacts/Qwen_Qwen2.5-3B-Instruct-QNN-FC/simple_python_6/step_00/generated_text.txt
simple_python_7,0,192.168.110.67:5555,214,29,0,2768,248,248,1936,2184,5262.781540004653,862.903,14.9793,0.8408297013302922,0.384995284491892,0.028994127632079043,1.836372067705358,0.8408297013302922,0.384995284491892,False,False,,,3,3,4.2068604651162795,4.238212258796822,0.10600996677740862,0.023090805902383653,0.44596913814417055,0.09786373664098041,40.57729900332226,40.69778774120318,40.69778774120318,34.3359375,1003.58203125,1003.58203125,11,11,measured_signed_battery_energy,/home/lyyyy/pace/results/oneplus/bfcl_qwen2.5-3b_w4a16-block16_balanced/qnn_phone_artifacts/Qwen_Qwen2.5-3B-Instruct-QNN-FC/simple_python_7/step_00/telemetry.csv,/home/lyyyy/pace/results/oneplus/bfcl_qwen2.5-3b_w4a16-block16_balanced/qnn_phone_artifacts/Qwen_Qwen2.5-3B-Instruct-QNN-FC/simple_python_7/step_00/runner.log,/home/lyyyy/pace/results/oneplus/bfcl_qwen2.5-3b_w4a16-block16_balanced/qnn_phone_artifacts/Qwen_Qwen2.5-3B-Instruct-QNN-FC/simple_python_7/step_00/generated_text.txt
simple_python_8,0,192.168.110.67:5555,208,21,0,1516,251,251,1405,1656,3500.4835699946852,828.685,14.9466,0.5181497462315324,0.31289235883546646,0.024673797439596783,0.8580559797594177,0.5181497462315324,0.31289235883546646,False,False,,,3,3,4.218978742249779,4.221670945157526,0.11592914083259523,0.035751458576429404,0.4891025807800001,0.15093089391911485,40.85711160318866,41.03032322053676,41.03032322053676,33.73828125,1003.5390625,1003.5390625,8,8,measured_signed_battery_energy,/home/lyyyy/pace/results/oneplus/bfcl_qwen2.5-3b_w4a16-block16_balanced/qnn_phone_artifacts/Qwen_Qwen2.5-3B-Instruct-QNN-FC/simple_python_8/step_00/telemetry.csv,/home/lyyyy/pace/results/oneplus/bfcl_qwen2.5-3b_w4a16-block16_balanced/qnn_phone_artifacts/Qwen_Qwen2.5-3B-Instruct-QNN-FC/simple_python_8/step_00/runner.log,/home/lyyyy/pace/results/oneplus/bfcl_qwen2.5-3b_w4a16-block16_balanced/qnn_phone_artifacts/Qwen_Qwen2.5-3B-Instruct-QNN-FC/simple_python_8/step_00/generated_text.txt
simple_python_9,0,192.168.110.67:5555,208,21,0,1462,264,264,1410,1674,3463.1837750057457,787.879,14.8936,0.9408635102296543,0.5620451076640707,0.04480302429665021,1.5750055161244414,0.9408635102296543,0.5620451076640707,False,False,,,3,3,4.20729963898917,4.206577142857142,0.1583537906137184,0.07596571428571428,0.666241846081664,0.31955563735510195,41.19818411552347,41.31023428571429,41.31023428571429,33.609375,1002.375,1002.375,8,8,measured_signed_battery_energy,/home/lyyyy/pace/results/oneplus/bfcl_qwen2.5-3b_w4a16-block16_balanced/qnn_phone_artifacts/Qwen_Qwen2.5-3B-Instruct-QNN-FC/simple_python_9/step_00/telemetry.csv,/home/lyyyy/pace/results/oneplus/bfcl_qwen2.5-3b_w4a16-block16_balanced/qnn_phone_artifacts/Qwen_Qwen2.5-3B-Instruct-QNN-FC/simple_python_9/step_00/runner.log,/home/lyyyy/pace/results/oneplus/bfcl_qwen2.5-3b_w4a16-block16_balanced/qnn_phone_artifacts/Qwen_Qwen2.5-3B-Instruct-QNN-FC/simple_python_9/step_00/generated_text.txt
simple_python_10,0,192.168.110.67:5555,255,32,0,1604,244,244,2124,2368,4294.6826690022135,1045.08,15.0659,1.2657988207545912,0.53454342092677,0.039556213148580974,2.997411607546872,1.2657988207545912,0.53454342092677,False,False,,,3,3,4.194733333333333,4.2074574290484135,0.15326666666666666,0.09981469115191986,0.6429127955555555,0.41996606381531815,41.41566666666667,41.499135225375625,41.499135225375625,33.79296875,1002.64453125,1002.64453125,10,10,measured_signed_battery_energy,/home/lyyyy/pace/results/oneplus/bfcl_qwen2.5-3b_w4a16-block16_balanced/qnn_phone_artifacts/Qwen_Qwen2.5-3B-Instruct-QNN-FC/simple_python_10/step_00/telemetry.csv,/home/lyyyy/pace/results/oneplus/bfcl_qwen2.5-3b_w4a16-block16_balanced/qnn_phone_artifacts/Qwen_Qwen2.5-3B-Instruct-QNN-FC/simple_python_10/step_00/runner.log,/home/lyyyy/pace/results/oneplus/bfcl_qwen2.5-3b_w4a16-block16_balanced/qnn_phone_artifacts/Qwen_Qwen2.5-3B-Instruct-QNN-FC/simple_python_10/step_00/generated_text.txt
simple_python_11,0,192.168.110.67:5555,215,27,0,1842,251,251,1807,2058,4218.314288998954,856.574,14.9419,0.767634665913963,0.3730003235733543,0.028430913552369,1.5797921424509358,0.767634665913963,0.3730003235733543,False,False,,,3,3,4.222760563380281,4.225326403326403,0.021535211267605634,0.038471933471933464,0.09093804086490774,0.1625564762859773,41.606647887323945,41.64214137214137,41.64214137214137,33.6015625,1002.703125,1002.703125,10,10,measured_signed_battery_energy,/home/lyyyy/pace/results/oneplus/bfcl_qwen2.5-3b_w4a16-block16_balanced/qnn_phone_artifacts/Qwen_Qwen2.5-3B-Instruct-QNN-FC/simple_python_11/step_00/telemetry.csv,/home/lyyyy/pace/results/oneplus/bfcl_qwen2.5-3b_w4a16-block16_balanced/qnn_phone_artifacts/Qwen_Qwen2.5-3B-Instruct-QNN-FC/simple_python_11/step_00/runner.log,/home/lyyyy/pace/results/oneplus/bfcl_qwen2.5-3b_w4a16-block16_balanced/qnn_phone_artifacts/Qwen_Qwen2.5-3B-Instruct-QNN-FC/simple_python_11/step_00/generated_text.txt
simple_python_12,0,192.168.110.67:5555,202,22,0,1594,258,258,1483,1741,3637.046960997395,782.946,14.8348,0.48412531572974127,0.2780731279320742,0.022005696169533694,0.8428621746854795,0.48412531572974127,0.2780731279320742,False,False,,,3,3,4.206732110091743,4.19992247043364,0.15639633027522934,0.1006557161629435,0.6579174644693208,0.422746204090337,41.69,41.722,41.728,33.8046875,1002.84375,1002.84375,9,9,measured_signed_battery_energy,/home/lyyyy/pace/results/oneplus/bfcl_qwen2.5-3b_w4a16-block16_balanced/qnn_phone_artifacts/Qwen_Qwen2.5-3B-Instruct-QNN-FC/simple_python_12/step_00/telemetry.csv,/home/lyyyy/pace/results/oneplus/bfcl_qwen2.5-3b_w4a16-block16_balanced/qnn_phone_artifacts/Qwen_Qwen2.5-3B-Instruct-QNN-FC/simple_python_12/step_00/runner.log,/home/lyyyy/pace/results/oneplus/bfcl_qwen2.5-3b_w4a16-block16_balanced/qnn_phone_artifacts/Qwen_Qwen2.5-3B-Instruct-QNN-FC/simple_python_12/step_00/generated_text.txt
simple_python_13,0,192.168.110.67:5555,269,103,0,2155,378,378,6839,7217,9678.587397997035,711.64,15.0607,3.399205573658894,0.47099980236370986,0.03300199586076596,24.53206662509624,3.399205573658894,0.47099980236370986,False,False,,,3,3,4.186231822971549,4.207913043478261,0.16173656480505796,0.06962732919254659,0.6770667545250338,0.29298574669187144,41.781978925184404,41.98812422360248,41.98812422360248,33.51171875,1002.7265625,1002.7265625,21,21,measured_signed_battery_energy,/home/lyyyy/pace/results/oneplus/bfcl_qwen2.5-3b_w4a16-block16_balanced/qnn_phone_artifacts/Qwen_Qwen2.5-3B-Instruct-QNN-FC/simple_python_13/step_00/telemetry.csv,/home/lyyyy/pace/results/oneplus/bfcl_qwen2.5-3b_w4a16-block16_balanced/qnn_phone_artifacts/Qwen_Qwen2.5-3B-Instruct-QNN-FC/simple_python_13/step_00/runner.log,/home/lyyyy/pace/results/oneplus/bfcl_qwen2.5-3b_w4a16-block16_balanced/qnn_phone_artifacts/Qwen_Qwen2.5-3B-Instruct-QNN-FC/simple_python_13/step_00/generated_text.txt
simple_python_14,0,192.168.110.67:5555,212,38,0,1660,261,261,2445,2706,4672.133653992205,812.261,15.5419,0.9942201995206035,0.36741322968241075,0.026163689461068514,2.6903598599027534,0.9942201995206035,0.36741322968241075,False,False,,,3,3,4.20805698005698,4.211400340715502,0.06460873694207027,0.08910562180579217,0.27187724646174405,0.3752594460325798,42.13753371320038,42.223979557069846,42.223979557069846,33.734375,1002.8125,1002.8125,11,11,measured_signed_battery_energy,/home/lyyyy/pace/results/oneplus/bfcl_qwen2.5-3b_w4a16-block16_balanced/qnn_phone_artifacts/Qwen_Qwen2.5-3B-Instruct-QNN-FC/simple_python_14/step_00/telemetry.csv,/home/lyyyy/pace/results/oneplus/bfcl_qwen2.5-3b_w4a16-block16_balanced/qnn_phone_artifacts/Qwen_Qwen2.5-3B-Instruct-QNN-FC/simple_python_14/step_00/runner.log,/home/lyyyy/pace/results/oneplus/bfcl_qwen2.5-3b_w4a16-block16_balanced/qnn_phone_artifacts/Qwen_Qwen2.5-3B-Instruct-QNN-FC/simple_python_14/step_00/generated_text.txt
