timestamp_ms,host_timestamp_ms,adb_latency_ms,voltage_v,current_a,power_w,skin_temp_c,thermal_status,runner_pid,rss_kb,vmhwm_kb,valid_power,error
1785816094239.000,1785816093596.684,225.190,3.955,0.021,0.083055,45.81,0,27206,8624,11320,True,
1785816095457.000,1785816094457.040,945.219,3.929,0.102,0.40075799999999995,45.81,0,27206,32884,32884,True,
1785816095653.000,1785816095022.988,186.066,3.914,0.104,0.407056,45.81,0,27206,63284,78972,True,
1785816096274.000,1785816095584.213,307.317,3.935,0.053,0.208555,45.782,0,27206,25388,78972,True,
1785816096736.000,1785816096066.362,270.763,3.932,0.082,0.322424,45.733,0,27206,194904,1026092,True,
1785816097224.500,1785816096563.118,263.250,3.922,0.06,0.23532,45.726,0,27206,673408,1026092,True,
1785816097667.000,1785816097032.194,200.623,3.928,0.104,0.408512,45.712,0,27206,33860,1026092,True,
1785816098163.000,1785816097529.934,195.703,3.909,0.12,0.46907999999999994,45.705,0,27206,33860,1026092,True,
1785816098680.500,1785816098039.064,213.465,3.902,0.089,0.347278,45.691,0,27206,33860,1026092,True,
1785816099131.500,1785816098513.884,162.471,3.909,0.083,0.324447,45.655,0,27206,33860,1026092,True,
1785816099700.000,1785816099050.699,235.330,3.906,0.037,0.144522,45.641,0,27206,33860,1026092,True,
1785816100138.500,1785816099521.759,176.830,3.906,0.109,0.425754,45.634,0,27206,33860,1026092,True,
1785816100736.500,1785816100071.521,275.718,3.902,0.108,0.421416,45.627,0,27206,33860,1026092,True,
1785816101234.000,1785816100566.910,266.109,3.918,0.082,0.321276,45.62,0,27206,33860,1026092,True,
1785816101657.000,1785816101029.956,191.467,3.903,0.12,0.46836,45.627,0,27206,33860,1026092,True,
1785816102159.000,1785816101530.325,191.324,3.899,0.133,0.518567,45.62,0,27206,33860,1026092,True,
1785816102677.000,1785816102041.260,212.531,3.914,0.109,0.426626,45.62,0,27206,33860,1026092,True,
1785816103433.000,1785816102665.913,461.048,3.9,0.104,0.40559999999999996,45.634,0,27206,33860,1026092,True,
1785816103645.500,1785816103025.202,179.086,3.902,0.141,0.550182,45.634,0,27206,33860,1026092,True,
1785816104212.500,1785816103557.010,242.111,3.901,0.148,0.577348,45.648,0,27206,33860,1026092,True,
1785816104725.000,1785816104064.191,255.928,3.914,0.114,0.44619600000000004,45.655,0,27206,33860,1026092,True,
1785816105225.500,1785816104563.910,254.805,3.907,0.125,0.488375,45.676,0,27206,33860,1026092,True,
1785816105742.500,1785816105072.191,270.783,3.902,0.161,0.6282220000000001,45.683,0,27206,33860,1026092,True,
1785816106168.500,1785816105532.856,191.290,3.934,0.028,0.11015200000000001,45.691,0,,,,True,
1785816106322.500,1785816105706.556,155.319,3.935,0.04,0.1574,45.691,0,,,,True,
