task,sample_id,dataset,source_id,subject,difficulty,requested_budget_tokens,budget_tokens,estimated_prompt_tokens,seq_len,returncode,runner_returncode,adb_pull_returncode,prompt_tokens,generated_tokens,model_load_ms,ttft_ms,prefill_latency_ms,decode_latency_ms,inference_ms,e2e_latency_ms,prefill_token_per_sec,decode_token_per_sec,seq_len_stop,qnn_shards_restored,output_chars,replacement_chars,energy_j,average_power_w,energy_per_token_j,edp_j_s,start_voltage_v,end_voltage_v,start_current_a,end_current_a,start_skin_temp_c,end_skin_temp_c,max_skin_temp_c,peak_rss_mb,peak_vmhwm_mb,memory_use_mb,telemetry_sample_count,power_sample_count,energy_measurement_status,telemetry_path,output_path,log_path,predicted_answer,gold_answer,normalized_predicted_answer,normalized_gold_answer,answer_parse_method,score_method,score_correct,runner_reported_returncode,device_connection_status,error
GSM8K,gsm8k_0001,GSM8K,1,Grade School Math,,128,128,130,258,0,0,0,130,127,4228,254,254,8417,8671,8671,511.811,15.0885,True,4,492,0,2.6024623119789303,0.300134045897697,0.020491829228180554,22.565950707169304,4.3262538812785385,4.339,0.12767123287671234,0.06627459618208517,31.120982648401824,32.87025697503671,32.87025697503671,35.09765625,1003.84765625,1003.84765625,28,28,measured_signed_battery_energy,/home/lyyyy/pace/results/oneplus/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0001/telemetry.csv,/home/lyyyy/pace/results/oneplus/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0001/generated_text.txt,/home/lyyyy/pace/results/oneplus/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0001/runner.log,NA,18,NA,18,missing_answer_marker,gsm8k_numeric_exact,False,,,
GSM8K,gsm8k_0002,GSM8K,2,Grade School Math,,128,128,92,220,0,0,0,92,127,2412,134,134,8582,8716,8716,686.567,14.7984,True,4,465,0,-1.535496532529459,-0.17616986375969013,-0.012090523878184717,-13.383387777526764,4.387710019267822,4.341122847301952,0.024229287090558767,0.09007807118254879,29.37051252408478,30.940731343283584,30.940731343283584,34.96875,1003.80859375,1003.80859375,25,25,measured_signed_battery_energy,/home/lyyyy/pace/results/oneplus/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0002/telemetry.csv,/home/lyyyy/pace/results/oneplus/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0002/generated_text.txt,/home/lyyyy/pace/results/oneplus/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0002/runner.log,NA,3,NA,3,missing_answer_marker,gsm8k_numeric_exact,False,,,
GSM8K,gsm8k_0003,GSM8K,3,Grade School Math,,128,128,123,251,0,0,0,123,127,1459,130,130,8486,8616,8616,946.154,14.9658,True,4,374,0,2.6776173937249284,0.31077267800892855,0.021083601525393136,23.07035146433398,4.336619284294235,4.371335468374699,0.19726043737574553,0.022160928742994385,31.359214711729624,32.52342113690953,32.52342113690953,35.07421875,1004.23828125,1004.23828125,22,22,measured_signed_battery_energy,/home/lyyyy/pace/results/oneplus/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0003/telemetry.csv,/home/lyyyy/pace/results/oneplus/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0003/generated_text.txt,/home/lyyyy/pace/results/oneplus/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0003/runner.log,NA,70000,NA,70000,missing_answer_marker,gsm8k_numeric_exact,False,,,
GSM8K,gsm8k_0004,GSM8K,4,Grade School Math,,128,128,101,229,0,0,0,101,127,1713,131,131,8510,8641,8641,770.992,14.9236,True,4,533,0,2.3301230697642676,0.2696589595838754,0.018347425746175337,20.134593445833037,4.326641344956413,4.375698880976603,0.11123412204234122,0.08127873855544253,32.77747571606476,33.443442522889114,33.443442522889114,34.73046875,1003.6953125,1003.6953125,23,23,measured_signed_battery_energy,/home/lyyyy/pace/results/oneplus/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0004/telemetry.csv,/home/lyyyy/pace/results/oneplus/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0004/generated_text.txt,/home/lyyyy/pace/results/oneplus/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0004/runner.log,NA,540,NA,540,missing_answer_marker,gsm8k_numeric_exact,False,,,
GSM8K,gsm8k_0005,GSM8K,5,Grade School Math,,128,128,177,305,0,0,0,177,127,1579,263,263,8529,8792,8792,673.004,14.8904,True,4,487,0,2.545167041840171,0.2894866972065709,0.020040685368820244,22.377108631858782,4.351210169491526,4.347566200215286,0.053474576271186444,0.0589967707212056,33.63627118644068,34.09458449946179,34.09458449946179,34.6328125,1003.6015625,1003.6015625,23,23,measured_signed_battery_energy,/home/lyyyy/pace/results/oneplus/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0005/telemetry.csv,/home/lyyyy/pace/results/oneplus/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0005/generated_text.txt,/home/lyyyy/pace/results/oneplus/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0005/runner.log,NA,20,NA,20,missing_answer_marker,gsm8k_numeric_exact,False,,,
GSM8K,gsm8k_0006,GSM8K,6,Grade School Math,,128,128,122,250,0,0,0,122,127,1502,129,129,8514,8643,8643,945.736,14.9166,True,4,399,0,2.7482224274929674,0.3179708929183116,0.02163954667317297,23.75288644082172,4.367977549111319,4.336836589698047,0.022435921421889618,0.024840142095914744,34.24295509822264,34.56467673179396,34.56467673179396,34.55078125,1003.625,1003.625,22,22,measured_signed_battery_energy,/home/lyyyy/pace/results/oneplus/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0006/telemetry.csv,/home/lyyyy/pace/results/oneplus/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0006/generated_text.txt,/home/lyyyy/pace/results/oneplus/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0006/runner.log,6,64,6,64,exact_answer_phrase,gsm8k_numeric_exact,False,,,
GSM8K,gsm8k_0007,GSM8K,7,Grade School Math,,128,128,108,236,0,0,0,108,127,1668,130,130,8549,8679,8679,830.769,14.8555,True,4,462,0,2.3160118107178373,0.26685238054128785,0.01823631347021919,20.10066650522011,4.36467273954116,4.3540588853838065,0.026738191632928475,0.033911671924290225,34.70659649122807,34.936,34.936,34.4921875,1003.38671875,1003.38671875,23,23,measured_signed_battery_energy,/home/lyyyy/pace/results/oneplus/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0007/telemetry.csv,/home/lyyyy/pace/results/oneplus/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0007/generated_text.txt,/home/lyyyy/pace/results/oneplus/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0007/runner.log,NA,260,NA,260,missing_answer_marker,gsm8k_numeric_exact,False,,,
GSM8K,gsm8k_0008,GSM8K,8,Grade School Math,,128,128,135,263,0,0,0,135,127,2377,271,271,8554,8825,8825,498.155,14.8469,True,4,415,0,2.1876478766891543,0.247892110672992,0.017225573832198065,19.305992511781785,4.362397748592871,4.3767803468208095,0.07548968105065665,0.010170520231213872,35.043,35.171486994219656,35.171486994219656,34.1796875,1003.26953125,1003.26953125,25,25,measured_signed_battery_energy,/home/lyyyy/pace/results/oneplus/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0008/telemetry.csv,/home/lyyyy/pace/results/oneplus/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0008/generated_text.txt,/home/lyyyy/pace/results/oneplus/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0008/runner.log,NA,160,NA,160,missing_answer_marker,gsm8k_numeric_exact,False,,,
GSM8K,gsm8k_0009,GSM8K,9,Grade School Math,,128,128,170,298,0,0,0,170,127,1974,260,260,8565,8825,8825,653.846,14.8278,True,4,383,0,2.172206171176002,0.24614234234288976,0.01710398559981104,19.169719460628215,4.35994421657096,4.351648,0.025916324856439705,0.065216,35.28425102543068,35.460176000000004,35.460176000000004,34.73828125,1003.69140625,1003.69140625,24,24,measured_signed_battery_energy,/home/lyyyy/pace/results/oneplus/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0009/telemetry.csv,/home/lyyyy/pace/results/oneplus/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0009/generated_text.txt,/home/lyyyy/pace/results/oneplus/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0009/runner.log,NA,45,NA,45,missing_answer_marker,gsm8k_numeric_exact,False,,,
GSM8K,gsm8k_0010,GSM8K,10,Grade School Math,,128,128,126,254,0,0,0,126,127,2269,139,139,8556,8695,8695,906.475,14.8434,True,4,432,0,2.0741508139090636,0.23854523449212922,0.016331896172512312,18.034741326939308,4.3513485981308415,4.3670103448275865,0.01637196261682243,0.021649425287356326,35.52597663551402,35.63215862068966,35.63215862068966,34.8515625,1003.7109375,1003.7109375,24,24,measured_signed_battery_energy,/home/lyyyy/pace/results/oneplus/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0010/telemetry.csv,/home/lyyyy/pace/results/oneplus/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0010/generated_text.txt,/home/lyyyy/pace/results/oneplus/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0010/runner.log,NA,460,NA,460,missing_answer_marker,gsm8k_numeric_exact,False,,,
