task,sample_id,dataset,source_id,subject,difficulty,requested_budget_tokens,budget_tokens,estimated_prompt_tokens,seq_len,returncode,runner_returncode,runner_reported_returncode,adb_pull_returncode,device_connection_status,error,prompt_tokens,generated_tokens,model_load_ms,ttft_ms,prefill_latency_ms,decode_latency_ms,inference_ms,e2e_latency_ms,prefill_token_per_sec,decode_token_per_sec,seq_len_stop,qnn_shards_restored,output_chars,replacement_chars,energy_j,average_power_w,energy_per_token_j,edp_j_s,start_voltage_v,end_voltage_v,start_current_a,end_current_a,start_skin_temp_c,end_skin_temp_c,max_skin_temp_c,peak_rss_mb,peak_vmhwm_mb,memory_use_mb,telemetry_sample_count,power_sample_count,energy_measurement_status,signed_net_battery_energy_j,signed_average_battery_power_w,external_powered_start,external_powered_end,power_sources_start,power_sources_end,telemetry_path,output_path,log_path,predicted_answer,gold_answer,normalized_predicted_answer,normalized_gold_answer,answer_parse_method,score_method,score_correct
MATH500,math500_0001,MATH500,test/precalculus/807.json,Precalculus,2,256,256,86,342,0,0,0,0,,,86,255,13808,133,133,16989,17122,17122,646.617,15.0097,True,4,677,0,3.12103023287135,0.18228187319655123,0.012239334246554313,53.438279647223254,4.060890302066773,4.068820269200317,0.07650238473767886,0.02423673792557403,30.258434022257553,32.21999762470308,32.21999762470308,33.96484375,1003.76171875,1003.76171875,38,38,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0001/telemetry.csv,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0001/generated_text.txt,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0001/runner.log,NA,"\left( 3, \frac{\pi}{2} \right)",NA,"(3,\frac{\pi}{2})",missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
MATH500,math500_0002,MATH500,test/intermediate_algebra/1994.json,Intermediate Algebra,5,256,256,149,405,0,0,0,0,,,149,255,1756,261,261,17077,17338,17338,570.881,14.9324,True,4,764,0,3.566390014167322,0.20569788984700207,0.013985843192813027,61.834070065633036,4.05820895522388,4.065921259842519,0.025271798900235662,0.0687527559055118,32.4731500392773,33.551056692913384,33.551056692913384,35.453125,1004.3984375,1004.3984375,33,33,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0002/telemetry.csv,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0002/generated_text.txt,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0002/runner.log,NA,p - q,NA,p-q,missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
MATH500,math500_0003,MATH500,test/algebra/2584.json,Algebra,3,256,256,86,342,0,0,0,0,,,86,255,1565,138,138,16990,17128,17128,623.188,15.0088,True,4,506,0,4.699875810081188,0.27439723319016746,0.01843088552973015,80.4994728750706,4.046708737864077,4.061744038155803,0.08523300970873786,0.07055325914149443,33.67317961165048,34.22390779014309,34.22390779014309,35.44140625,1004.390625,1004.390625,33,33,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0003/telemetry.csv,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0003/generated_text.txt,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0003/runner.log,NA,\frac{14}{3},NA,\frac{14}{3},missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
MATH500,math500_0004,MATH500,test/number_theory/572.json,Number Theory,3,256,256,53,309,0,0,0,0,,,53,255,5546,136,136,16892,17028,17028,389.706,15.0959,True,4,680,0,3.7362441084128,0.21941767138905335,0.014651937680050197,63.620764678053156,4.072915721231767,4.062313344594594,0.020670178282009725,0.05079814189189189,33.32180713128039,34.20637162162162,34.20637162162162,35.28125,1003.9453125,1003.9453125,33,33,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0004/telemetry.csv,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0004/generated_text.txt,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0004/runner.log,NA,9,NA,9,missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
MATH500,math500_0005,MATH500,test/algebra/1349.json,Algebra,2,256,256,378,634,0,0,0,0,,,378,255,1631,383,383,16966,17349,17349,986.945,15.0301,True,4,757,0,5.1064484655877616,0.2943367609422884,0.020025288100344162,88.59177442948207,4.0226156925540435,4.051715625,0.10208246597277823,0.0919390625,34.346674139311446,34.938221875,34.938221875,35.54296875,1004.30078125,1004.30078125,33,33,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0005/telemetry.csv,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0005/generated_text.txt,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0005/runner.log,NA,\text{Evelyn},NA,\text{evelyn},missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
MATH500,math500_0006,MATH500,test/prealgebra/1622.json,Prealgebra,2,256,256,80,336,0,0,0,0,,,80,255,5665,159,159,16978,17137,17137,503.145,15.0194,True,4,1087,0,5.136558172994953,0.2997349695392982,0.020143365384293933,88.02519741061452,4.082431008529855,4.085827419354838,0.027,0.016837096774193545,34.30301003512293,34.87990725806452,34.87990725806452,35.44921875,1004.32421875,1004.32421875,34,34,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0006/telemetry.csv,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0006/generated_text.txt,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0006/runner.log,NA,42,NA,42,missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
MATH500,math500_0007,MATH500,test/number_theory/515.json,Number Theory,3,256,256,58,314,0,0,0,0,,,58,255,3454,127,127,16928,17055,17055,456.693,15.0638,True,4,765,0,4.542748862017583,0.2663587723258624,0.017814701419676796,77.47658184170987,4.080770685579196,4.041673983739837,0.017163120567375883,0.11836260162601626,34.096657210401894,34.94077073170732,34.94077073170732,34.8359375,1003.984375,1003.984375,33,33,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0007/telemetry.csv,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0007/generated_text.txt,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0007/runner.log,NA,27,NA,27,missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
MATH500,math500_0008,MATH500,test/precalculus/927.json,Precalculus,4,256,256,105,361,0,0,0,0,,,105,255,1584,140,140,16854,16994,16994,750,15.1299,True,4,715,0,3.5560434350301273,0.20925287954749483,0.013945268372667166,60.43140213490198,4.06625,4.044492307692308,0.05366666666666667,0.07797435897435898,35.06458333333333,35.57149230769231,35.57149230769231,35.4765625,1004.2734375,1004.2734375,32,32,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0008/telemetry.csv,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0008/generated_text.txt,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0008/runner.log,NA,90^\circ,NA,90^\circ,missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
MATH500,math500_0009,MATH500,test/algebra/2036.json,Algebra,3,256,256,73,329,0,0,0,0,,,73,255,1537,138,138,16965,17103,17103,528.986,15.0309,True,4,620,0,4.049880698339784,0.23679358582352708,0.015881885091528564,69.26510958370534,4.038532488114105,4.046842060810811,0.07399683042789224,0.055336993243243246,35.68260063391442,35.97912837837838,35.97912837837838,34.8984375,1004.17578125,1004.17578125,32,32,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0009/telemetry.csv,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0009/generated_text.txt,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0009/runner.log,NA,3\sqrt{13},NA,3\sqrt{13},missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
MATH500,math500_0010,MATH500,test/prealgebra/1139.json,Prealgebra,5,256,256,188,444,0,0,0,0,,,188,255,2553,261,261,16881,17142,17142,720.307,15.1057,True,4,763,0,4.933498569933136,0.28780180666976646,0.019347053215424063,84.57003248579382,4.037433990895296,4.045425316455696,0.12013884673748103,0.06719915611814346,35.96823672230652,36.369,36.369,34.99609375,1004.23828125,1004.23828125,32,32,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0010/telemetry.csv,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0010/generated_text.txt,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0010/runner.log,NA,4,NA,4,missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
MATH500,math500_0011,MATH500,test/number_theory/1032.json,Number Theory,3,256,256,64,320,0,0,0,0,,,64,255,1513,136,136,16765,16901,16901,470.588,15.2103,True,4,835,0,5.245061404135648,0.31034029963526705,0.020568868251512346,88.64678279129659,4.0451620294599016,4.062575364667747,0.12039770867430442,0.06617260940032416,36.429256955810146,36.64935818476499,36.64935818476499,35.50390625,1004.4375,1004.4375,32,32,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0011/telemetry.csv,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0011/generated_text.txt,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0011/runner.log,NA,2220,NA,2220,missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
MATH500,math500_0012,MATH500,test/intermediate_algebra/1197.json,Intermediate Algebra,5,256,256,98,354,0,0,0,0,,,98,255,1541,140,140,16860,17000,17000,700,15.1246,True,4,679,0,3.9702256456180542,0.23354268503635614,0.015569512335757076,67.49383597550693,4.066825581395349,4.041933445661331,0.032627906976744184,0.07887868576242628,36.6734534883721,36.811,36.811,34.78125,1003.91796875,1003.91796875,32,32,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0012/telemetry.csv,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0012/generated_text.txt,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0012/runner.log,NA,\frac{3}{56},NA,\frac{3}{56},missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
MATH500,math500_0013,MATH500,test/number_theory/737.json,Number Theory,5,256,256,110,366,0,0,0,0,,,110,255,3139,137,137,16883,17020,17020,802.92,15.104,True,4,689,0,5.277620648019164,0.31008346933132575,0.020696551560859467,89.82510342928617,4.084105621805792,4.047022595756407,0.026763202725724022,0.12158363185450538,36.74204770017036,36.92752824469551,36.92752824469551,34.7734375,1003.9765625,1003.9765625,33,33,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0013/telemetry.csv,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0013/generated_text.txt,/home/lyyyy/pace/results/oneplus/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0013/runner.log,NA,284,NA,284,missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
