task,sample_id,dataset,source_id,subject,difficulty,requested_budget_tokens,budget_tokens,estimated_prompt_tokens,seq_len,returncode,runner_returncode,runner_reported_returncode,adb_pull_returncode,device_connection_status,error,prompt_tokens,generated_tokens,model_load_ms,ttft_ms,prefill_latency_ms,decode_latency_ms,inference_ms,e2e_latency_ms,prefill_token_per_sec,decode_token_per_sec,seq_len_stop,qnn_shards_restored,output_chars,replacement_chars,energy_j,average_power_w,energy_per_token_j,edp_j_s,start_voltage_v,end_voltage_v,start_current_a,end_current_a,start_skin_temp_c,end_skin_temp_c,max_skin_temp_c,peak_rss_mb,peak_vmhwm_mb,memory_use_mb,telemetry_sample_count,power_sample_count,energy_measurement_status,signed_net_battery_energy_j,signed_average_battery_power_w,external_powered_start,external_powered_end,power_sources_start,power_sources_end,telemetry_path,output_path,log_path,predicted_answer,gold_answer,normalized_predicted_answer,normalized_gold_answer,answer_parse_method,score_method,score_correct,start_power_w,end_power_w
GSM8K,gsm8k_0001,GSM8K,1,Grade School Math,,128,128,130,258,0,0,0,0,,,130,127,3205,269,269,7681,7950,7950,483.271,16.5343,True,4,492,0,3.1148413572980767,0.3918039443142235,0.024526309899984857,24.76298879051971,4.177386744966443,4.186972995780591,0.08636241610738254,0.04595105485232068,35.06313590604027,35.62863206751055,35.62863206751055,65.328125,1060.78125,1060.78125,18,18,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/redmi/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0001/telemetry.csv,/home/lyyyy/pace/results/redmi/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0001/generated_text.txt,/home/lyyyy/pace/results/redmi/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0001/runner.log,NA,18,NA,18,missing_answer_marker,gsm8k_numeric_exact,False,,
GSM8K,gsm8k_0002,GSM8K,2,Grade School Math,,128,128,92,220,0,0,0,0,,,92,127,1168,127,127,7589,7716,7716,724.409,16.7347,True,4,465,0,3.4930912653678265,0.4527075253198324,0.02750465563281753,26.95269220357815,4.134369932432433,4.178138343296328,0.16908277027027024,0.0537130657557643,35.87223564189189,36.54387873612297,36.54387873612297,91.74609375,1061.09375,1061.09375,17,17,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/redmi/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0002/telemetry.csv,/home/lyyyy/pace/results/redmi/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0002/generated_text.txt,/home/lyyyy/pace/results/redmi/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0002/runner.log,NA,3,NA,3,missing_answer_marker,gsm8k_numeric_exact,False,,
GSM8K,gsm8k_0003,GSM8K,3,Grade School Math,,128,128,123,251,0,0,0,0,,,123,127,1179,129,129,7606,7735,7735,953.488,16.6973,True,4,374,0,3.7384048507292564,0.4833102586592445,0.0294362586671595,28.9165615203908,4.125488451668093,4.160657627118644,0.21578870829769037,0.10930677966101694,36.72645936698032,37.091891525423726,37.091891525423726,91.66015625,1061.09375,1061.09375,17,17,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/redmi/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0003/telemetry.csv,/home/lyyyy/pace/results/redmi/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0003/generated_text.txt,/home/lyyyy/pace/results/redmi/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0003/runner.log,NA,70000,NA,70000,missing_answer_marker,gsm8k_numeric_exact,False,,
GSM8K,gsm8k_0004,GSM8K,4,Grade School Math,,128,128,101,229,0,0,0,0,,,101,127,1159,130,130,7582,7712,7712,776.923,16.7502,True,4,533,0,3.4309751379407234,0.4448878550234341,0.02701555226724979,26.45968026379886,4.174107234042554,4.17833417721519,0.23251829787234043,0.04173502109704641,37.209962553191495,37.466182278481014,37.466182278481014,91.4609375,1060.6875,1060.6875,17,17,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/redmi/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0004/telemetry.csv,/home/lyyyy/pace/results/redmi/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0004/generated_text.txt,/home/lyyyy/pace/results/redmi/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0004/runner.log,NA,540,NA,540,missing_answer_marker,gsm8k_numeric_exact,False,,
GSM8K,gsm8k_0005,GSM8K,5,Grade School Math,,128,128,177,305,0,0,0,0,,,177,127,1180,254,254,7568,7822,7822,696.85,16.7812,True,4,487,0,3.7762642821049264,0.4827747739842657,0.029734364426023042,29.537939214624735,4.1278090452261305,4.15672268907563,0.20792462311557788,0.1204453781512605,37.549135678391956,37.73874789915966,37.73874789915966,91.78515625,1061.00390625,1061.00390625,17,17,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/redmi/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0005/telemetry.csv,/home/lyyyy/pace/results/redmi/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0005/generated_text.txt,/home/lyyyy/pace/results/redmi/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0005/runner.log,NA,20,NA,20,missing_answer_marker,gsm8k_numeric_exact,False,,
GSM8K,gsm8k_0006,GSM8K,6,Grade School Math,,128,128,122,250,0,0,0,0,,,122,127,1178,128,128,7571,7699,7699,953.125,16.7745,True,4,399,0,3.1735886314582564,0.41220790121551587,0.024988886861876034,24.433458873597115,4.175,4.160204152249135,0.055158297872340424,0.10404152249134947,37.806129361702126,37.93155017301038,37.93155017301038,91.2578125,1060.67578125,1060.67578125,17,17,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/redmi/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0006/telemetry.csv,/home/lyyyy/pace/results/redmi/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0006/generated_text.txt,/home/lyyyy/pace/results/redmi/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0006/runner.log,6,64,6,64,exact_answer_phrase,gsm8k_numeric_exact,False,,
GSM8K,gsm8k_0007,GSM8K,7,Grade School Math,,128,128,108,236,0,0,0,0,,,108,127,1169,130,130,7566,7696,7696,830.769,16.7856,True,4,462,0,3.218275589899047,0.4181751026376101,0.02534075267637045,24.767848939863065,4.140163179916318,4.162940924657534,0.18466945606694563,0.08738441780821918,37.99632217573222,38.128940924657535,38.128940924657535,90.96875,1060.34375,1060.34375,17,17,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/redmi/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0007/telemetry.csv,/home/lyyyy/pace/results/redmi/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0007/generated_text.txt,/home/lyyyy/pace/results/redmi/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0007/runner.log,NA,260,NA,260,missing_answer_marker,gsm8k_numeric_exact,False,,
GSM8K,gsm8k_0008,GSM8K,8,Grade School Math,,128,128,135,263,0,0,0,0,,,135,127,1177,254,254,7590,7844,7844,531.496,16.7325,True,4,415,0,3.3998346981119543,0.4334312465721512,0.026770351953637434,26.66830337199017,4.134070707070707,4.175522959183673,0.22383838383838384,0.04975765306122449,38.17642424242424,38.28074489795918,38.28074489795918,91.73828125,1060.734375,1060.734375,18,18,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/redmi/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0008/telemetry.csv,/home/lyyyy/pace/results/redmi/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0008/generated_text.txt,/home/lyyyy/pace/results/redmi/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0008/runner.log,NA,160,NA,160,missing_answer_marker,gsm8k_numeric_exact,False,,
GSM8K,gsm8k_0009,GSM8K,9,Grade School Math,,128,128,170,298,0,0,0,0,,,170,127,1175,255,255,7587,7842,7842,666.667,16.7392,True,4,383,0,3.272838518671398,0.41734742650744683,0.02577038203678266,25.6655996634211,4.167519797809605,4.179990049751244,0.02668239258635216,0.03270315091210614,38.34295956192081,38.34337479270315,38.344,91.625,1061.31640625,1061.31640625,18,18,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/redmi/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0009/telemetry.csv,/home/lyyyy/pace/results/redmi/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0009/generated_text.txt,/home/lyyyy/pace/results/redmi/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0009/runner.log,NA,45,NA,45,missing_answer_marker,gsm8k_numeric_exact,False,,
GSM8K,gsm8k_0010,GSM8K,10,Grade School Math,,128,128,126,254,0,0,0,0,,,126,127,1184,128,128,7587,7715,7715,984.375,16.7392,True,4,432,0,3.310820065021861,0.42914064355435655,0.026069449330880793,25.542976801643658,4.129442194092827,4.160972366148532,0.19276793248945145,0.10049395509499137,38.39786582278481,38.43332815198618,38.43332815198618,92.03515625,1061.28125,1061.28125,17,17,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/redmi/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0010/telemetry.csv,/home/lyyyy/pace/results/redmi/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0010/generated_text.txt,/home/lyyyy/pace/results/redmi/gsm8k_qwen2.5-3b_w4a16-block16_balanced/gsm8k/gsm8k_0010/runner.log,NA,460,NA,460,missing_answer_marker,gsm8k_numeric_exact,False,,
