timestamp_ms,host_timestamp_ms,adb_latency_ms,voltage_v,current_a,power_w,skin_temp_c,thermal_status,runner_pid,rss_kb,vmhwm_kb,valid_power,error
1785898870435.500,1785898870435.500,51.000,4.209,0.095,0.39985499999999996,36.864,0,21601,18364,21760,True,
1785898871044.000,1785898871044.000,48.000,4.201,0.126,0.529326,36.888,0,21601,230264,1087964,True,
1785898871643.500,1785898871643.500,51.000,4.174,0.201,0.8389740000000001,36.913,0,21601,94896,1087964,True,
1785898872259.500,1785898872259.500,63.000,4.19,0.141,0.59079,36.919,0,21601,95592,1087964,True,
1785898872881.500,1785898872881.500,53.000,4.189,0.164,0.686996,36.937,0,21601,95592,1087964,True,
1785898873507.000,1785898873507.000,62.000,4.189,0.169,0.707941,36.937,0,21601,95592,1087964,True,
1785898874127.000,1785898874127.000,54.000,4.189,0.153,0.640917,36.943,0,21601,95592,1087964,True,
1785898874768.000,1785898874768.000,82.000,4.195,0.134,0.56213,36.962,0,21601,95592,1087964,True,
1785898875404.000,1785898875404.000,74.000,4.211,0.072,0.303192,36.974,0,21601,95592,1087964,True,
1785898876037.000,1785898876037.000,50.000,4.186,0.14,0.58604,36.986,0,21601,95592,1087964,True,
1785898876648.500,1785898876648.500,55.000,4.189,0.151,0.632539,36.998,0,21601,95592,1087964,True,
1785898877266.000,1785898877266.000,48.000,4.19,0.156,0.6536400000000001,37.017,0,21601,95592,1087964,True,
1785898877876.500,1785898877876.500,63.000,4.189,0.148,0.619972,37.035,0,21601,95592,1087964,True,
1785898878507.500,1785898878507.500,59.000,4.206,0.068,0.28600800000000004,37.054,0,21601,95592,1087964,True,
1785898879132.000,1785898879132.000,64.000,4.185,0.165,0.6905249999999999,37.078,0,21601,95592,1087964,True,
1785898879744.000,1785898879744.000,36.000,4.221,0.061,0.257481,37.102,0,,,,True,
1785898879827.500,1785898879827.500,37.000,4.221,0.072,0.30391199999999996,37.108,0,,,,True,
