task,sample_id,dataset,source_id,subject,difficulty,requested_budget_tokens,budget_tokens,estimated_prompt_tokens,seq_len,returncode,runner_returncode,runner_reported_returncode,adb_pull_returncode,device_connection_status,error,prompt_tokens,generated_tokens,model_load_ms,ttft_ms,prefill_latency_ms,decode_latency_ms,inference_ms,e2e_latency_ms,prefill_token_per_sec,decode_token_per_sec,seq_len_stop,qnn_shards_restored,output_chars,replacement_chars,energy_j,average_power_w,energy_per_token_j,edp_j_s,start_voltage_v,end_voltage_v,start_current_a,end_current_a,start_power_w,end_power_w,start_skin_temp_c,end_skin_temp_c,max_skin_temp_c,peak_rss_mb,peak_vmhwm_mb,memory_use_mb,telemetry_sample_count,power_sample_count,energy_measurement_status,signed_net_battery_energy_j,signed_average_battery_power_w,external_powered_start,external_powered_end,power_sources_start,power_sources_end,telemetry_path,output_path,log_path,predicted_answer,gold_answer,normalized_predicted_answer,normalized_gold_answer,answer_parse_method,score_method,score_correct
MATH500,math500_0001,MATH500,test/precalculus/807.json,Precalculus,2,128,128,86,214,0,0,0,0,,,86,127,2886,123,123,7432,7555,7555,699.187,17.0883,True,4,390,0,4.267747244694712,0.5648904360946011,0.033604309013344186,32.242830433668544,4.198490761271249,4.216165444172779,0.13417442719881745,0.10311328443357783,0.5633300929930969,0.43474266666400974,30.31248706577975,31.426784841075794,31.426784841075794,61.2265625,1060.125,1060.125,18,18,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/redmi/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0001/telemetry.csv,/home/lyyyy/pace/results/redmi/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0001/generated_text.txt,/home/lyyyy/pace/results/redmi/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0001/runner.log,NA,"\left( 3, \frac{\pi}{2} \right)",NA,"(3,\frac{\pi}{2})",missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
MATH500,math500_0002,MATH500,test/intermediate_algebra/1994.json,Intermediate Algebra,5,128,128,149,277,0,0,0,0,,,149,127,1295,249,249,7377,7626,7626,598.394,17.2157,True,4,354,0,4.617882004459913,0.6055444537712973,0.036361275625668606,35.2159681660113,4.223487844408428,4.212413931144916,0.08191410048622366,0.07026821457165733,0.3459632076892161,0.2959988059783295,31.91415721231767,33.11400560448359,33.11400560448359,66.95703125,1061.79296875,1061.79296875,17,17,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/redmi/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0002/telemetry.csv,/home/lyyyy/pace/results/redmi/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0002/generated_text.txt,/home/lyyyy/pace/results/redmi/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0002/runner.log,NA,p - q,NA,p-q,missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
MATH500,math500_0003,MATH500,test/algebra/2584.json,Algebra,3,128,128,86,214,0,0,0,0,,,86,127,1246,127,127,7358,7485,7485,677.165,17.2601,True,4,280,0,4.295453794815549,0.5738749224870472,0.03382247082531928,32.15147165419438,4.218702479338844,4.192041733547351,0.10339669421487603,0.15884911717495986,0.43619989023973776,0.6659021285345851,33.448917355371904,34.151898876404495,34.151898876404495,67.2890625,1062.25,1062.25,17,17,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/redmi/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0003/telemetry.csv,/home/lyyyy/pace/results/redmi/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0003/generated_text.txt,/home/lyyyy/pace/results/redmi/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0003/runner.log,NA,\frac{14}{3},NA,\frac{14}{3},missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
MATH500,math500_0004,MATH500,test/number_theory/572.json,Number Theory,3,128,128,53,181,0,0,0,0,,,53,127,1235,127,127,7364,7491,7491,417.323,17.2461,True,4,352,0,4.5989797979321585,0.6139340272236229,0.036212439353796526,34.4509576663098,4.214943493150685,4.197861111111112,0.08532020547945206,0.12967460317460316,0.35961984491989585,0.5443559737654322,34.38851027397261,34.81620634920635,34.81620634920635,67.52734375,1062.47265625,1062.47265625,17,17,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/redmi/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0004/telemetry.csv,/home/lyyyy/pace/results/redmi/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0004/generated_text.txt,/home/lyyyy/pace/results/redmi/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0004/runner.log,NA,9,NA,9,missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
MATH500,math500_0005,MATH500,test/algebra/1349.json,Algebra,2,128,128,378,506,0,0,0,0,,,378,127,1238,373,373,7346,7719,7719,1013.4,17.2883,True,4,448,0,5.077978310944666,0.6578544255660923,0.03998408118854068,39.19691458218188,4.2139863013698635,4.200542003231018,0.09104270749395649,0.14962520193861067,0.38365272221915603,0.6285069454850573,35.00702417405318,35.366241518578356,35.366241518578356,67.4921875,1062.30078125,1062.30078125,17,17,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/redmi/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0005/telemetry.csv,/home/lyyyy/pace/results/redmi/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0005/generated_text.txt,/home/lyyyy/pace/results/redmi/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0005/runner.log,NA,\text{Evelyn},NA,\text{evelyn},missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
MATH500,math500_0006,MATH500,test/prealgebra/1622.json,Prealgebra,2,128,128,80,208,0,0,0,0,,,80,127,1217,127,127,7360,7487,7487,629.921,17.2554,True,4,577,0,4.813211243135095,0.6428758171677701,0.037899301127047993,36.036512577352454,4.174827615062761,4.199875912408759,0.1817824267782427,0.12947445255474452,0.758910295246932,0.5437766345569822,35.52707866108787,35.7986496350365,35.7986496350365,93.4296875,1062.19921875,1062.19921875,17,17,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/redmi/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0006/telemetry.csv,/home/lyyyy/pace/results/redmi/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0006/generated_text.txt,/home/lyyyy/pace/results/redmi/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0006/runner.log,NA,42,NA,42,missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
MATH500,math500_0007,MATH500,test/number_theory/515.json,Number Theory,3,128,128,58,186,0,0,0,0,,,58,127,1221,126,126,7353,7479,7479,460.317,17.2719,True,4,453,0,5.034751825024928,0.6731851617896681,0.039643715157676604,37.65490889936144,4.179295901639344,4.196138014527845,0.21281639344262293,0.1437409200968523,0.8894226809164202,0.6031567390616114,35.94217049180328,36.155690072639224,36.155690072639224,67.37109375,1062.109375,1062.109375,16,16,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/redmi/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0007/telemetry.csv,/home/lyyyy/pace/results/redmi/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0007/generated_text.txt,/home/lyyyy/pace/results/redmi/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0007/runner.log,NA,27,NA,27,missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
MATH500,math500_0008,MATH500,test/precalculus/927.json,Precalculus,4,128,128,105,233,0,0,0,0,,,105,127,1235,128,128,7351,7479,7479,820.312,17.2766,True,4,383,0,4.431956936641453,0.5925868346893238,0.03489729871371223,33.14660592914143,4.209960683760683,4.204,0.09727521367521368,0.1208,0.40952482507706917,0.5078431999999999,36.26141025641026,36.5206,36.5206,67.359375,1062.453125,1062.453125,17,17,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/redmi/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0008/telemetry.csv,/home/lyyyy/pace/results/redmi/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0008/generated_text.txt,/home/lyyyy/pace/results/redmi/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0008/runner.log,NA,90^\circ,NA,90^\circ,missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
MATH500,math500_0009,MATH500,test/algebra/2036.json,Algebra,3,128,128,73,201,0,0,0,0,,,73,127,1221,127,127,7362,7489,7489,574.803,17.2507,True,4,296,0,4.246441399418073,0.5670238215273165,0.03343654645211081,31.801599640241946,4.209,4.208450602409639,0.095,0.08444578313253012,0.39985499999999996,0.3553859068950501,36.64071404255319,36.79930602409638,36.79930602409638,93.4375,1062.10546875,1062.10546875,17,17,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/redmi/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0009/telemetry.csv,/home/lyyyy/pace/results/redmi/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0009/generated_text.txt,/home/lyyyy/pace/results/redmi/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0009/runner.log,NA,3\sqrt{13},NA,3\sqrt{13},missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
MATH500,math500_0010,MATH500,test/prealgebra/1139.json,Prealgebra,5,128,128,188,316,0,0,0,0,,,188,127,1206,249,249,7384,7633,7633,755.02,17.1993,True,4,428,0,4.48872277748332,0.5880679650836264,0.03534427383845134,34.26242096053018,4.176679733110926,4.1899999999999995,0.1935562969140951,0.15055555555555555,0.8084226625371018,0.6308277777777777,36.91051876563803,37.08133333333333,37.08133333333333,93.3515625,1062.46484375,1062.46484375,17,17,measured_signed_battery_energy,,,False,False,,,/home/lyyyy/pace/results/redmi/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0010/telemetry.csv,/home/lyyyy/pace/results/redmi/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0010/generated_text.txt,/home/lyyyy/pace/results/redmi/math500_qwen2.5-3b_w4a16-block16_balanced/math500/math500_0010/runner.log,NA,4,NA,4,missing_boxed_answer,math500_normalized_exact_not_symbolic_equivalence,False
