task,sample_id,budget_tokens,estimated_prompt_tokens,seq_len,runner_returncode,adb_pull_returncode,prompt_tokens,generated_tokens,model_load_ms,ttft_ms,e2e_latency_ms,prefill_token_per_sec,decode_token_per_sec,seq_len_stop,qnn_shards_restored,output_chars,replacement_chars,output_nonempty,score_correct,predicted_answer,gold_answer,answer_parse_method,predicted_action,gold_action,action_valid,action_error_type,action_error_message
W3,w3v2_001,96,621,717,0,0,621,95,1752,470,4855,1321.28,21.6648,True,4,419,0,,False,,,,NA,open_app,False,parse_error,invalid JSON document: Extra data: line 1 column 64 (char 63)
W3,w3v2_002,96,620,716,0,0,620,95,1759,473,4964,1310.78,21.1534,True,4,433,0,,False,,,,NA,open_url,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0)
W3,w3v2_003,96,618,714,0,0,618,95,1765,470,4881,1314.89,21.5371,True,4,347,0,,False,,,,NA,open_app,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0)
W3,w3v2_004,96,621,717,0,0,621,95,1770,466,4891,1332.62,21.4689,True,4,416,0,,False,,,,NA,search_web,False,parse_error,invalid JSON document: Extra data: line 1 column 113 (char 112)
W3,w3v2_005,96,617,713,0,0,617,95,1737,461,4948,1338.39,21.1723,True,4,467,0,,False,,,,NA,search_contacts,False,parse_error,invalid JSON document: Extra data: line 1 column 87 (char 86)
W3,w3v2_006,96,617,713,0,0,617,95,1771,465,4952,1326.88,21.1723,True,4,319,0,,False,,,,NA,search_calendar,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0)
W3,w3v2_007,96,624,720,0,0,624,95,1758,475,4964,1313.68,21.1628,True,4,445,0,,False,,,,NA,search_web,False,parse_error,invalid JSON document: Extra data: line 1 column 109 (char 108)
W3,w3v2_008,96,622,718,0,0,622,95,1803,467,4946,1331.91,21.2101,True,4,448,0,,False,,,,NA,search_contacts,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0)
W3,w3v2_009,96,625,721,0,0,625,95,1764,469,4861,1332.62,21.6302,True,4,473,0,,False,,,,NA,search_calendar,False,parse_error,invalid JSON document: Extra data: line 1 column 81 (char 80)
W3,w3v2_010,96,624,720,0,0,624,95,1725,460,4971,1356.52,21.0596,True,4,445,0,,False,,,,NA,search_app_store,False,parse_error,invalid JSON document: Extra data: line 1 column 109 (char 108)
W3,w3v2_011,96,633,729,0,0,633,95,1775,473,4973,1338.27,21.1111,True,4,422,0,,False,,,,NA,search_app_store,False,parse_error,invalid JSON document: Extra data: line 1 column 106 (char 105)
W3,w3v2_012,96,619,715,0,0,619,95,1778,457,4923,1354.49,21.2718,True,4,437,0,,False,,,,NA,find_ui_element,False,parse_error,invalid JSON document: Extra data: line 1 column 58 (char 57)
W3,w3v2_013,96,615,711,0,0,615,95,1779,458,4962,1342.79,21.0924,True,4,412,0,,False,,,,NA,click_element,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0)
W3,w3v2_014,96,622,718,0,0,622,95,1770,470,4968,1323.4,21.1205,True,4,392,0,,False,,,,NA,click_element,False,parse_error,invalid JSON document: Expecting value: line 1 column 1 (char 0)
W3,w3v2_015,96,623,719,0,0,623,95,1761,475,4958,1311.58,21.1912,True,4,442,0,,False,,,,NA,type_text,False,parse_error,invalid JSON document: Extra data: line 3 column 1 (char 89)
W3,w3v2_016,96,621,717,0,0,621,95,1626,475,4988,1307.37,21.0503,True,4,455,0,,False,,,,NA,type_text,False,parse_error,invalid JSON document: Extra data: line 1 column 87 (char 86)
W3,w3v2_017,96,623,719,0,0,623,95,1776,467,4973,1334.05,21.083,True,4,356,0,,False,,,,NA,set_alarm,False,parse_error,invalid JSON document: Extra data: line 1 column 137 (char 136)
W3,w3v2_018,96,622,718,0,0,622,95,1771,474,4975,1312.24,21.1064,True,4,326,0,,False,,,,NA,set_alarm,False,parse_error,invalid JSON document: Extra data: line 1 column 110 (char 109)
W3,w3v2_019,96,633,729,0,0,633,95,1760,472,4991,1341.1,21.0224,True,4,331,0,,False,,,,NA,set_alarm,False,parse_error,invalid JSON document: Extra data: line 1 column 180 (char 179)
W3,w3v2_020,96,620,716,0,0,620,95,1770,454,4964,1365.64,21.0643,True,4,392,0,,False,,,,NA,set_timer,False,parse_error,invalid JSON document: Extra data: line 1 column 98 (char 97)
W3,w3v2_021,96,619,715,0,0,619,95,1761,459,4971,1348.58,21.055,True,4,424,0,,False,,,,NA,set_timer,False,parse_error,invalid JSON document: Extra data: line 3 column 1 (char 61)
